Quarter,Subscriptions (millions)
2013Q1,34.24
2013Q2,35.64
2013Q3,38.01
2013Q4,41.43
2014Q1,46.13
2014Q2,47.99
2014Q3,50.65
2014Q4,54.48
2015Q1,59.62
2015Q2,62.08
2015Q3,66.02
2015Q4,70.84
2016Q1,77.71
2016Q2,79.9
2016Q3,83.28
2016Q4,89.09
2017Q1,94.36
2017Q2,99.04
2017Q3,104.02
2017Q4,110.64
2018Q1,118.9
2018Q2,124.35
2018Q3,130.42
2018Q4,139.26
2019Q1,148.86
2019Q2,151.56
2019Q3,158.33
2019Q4,167.09
2020Q1,182.86
2020Q2,192.95
2020Q3,195.15
2020Q4,203.66
2021Q1,207.64
2021Q2,209.18
2021Q3,213.56
2021Q4,221.84
